
0it [00:00, ?it/s]
812it [03:59,  1.75it/s, bound:459 nc:240 ncall:1.5e+05 eff:0.5% logz=27.28+/-0.12 dlogz:10.433>0.1]
820it [04:04,  1.69it/s, bound:463 nc:273 ncall:1.6e+05 eff:0.5% logz=27.40+/-0.12 dlogz:10.293>0.1]
828it [04:08,  1.75it/s, bound:471 nc:269 ncall:1.6e+05 eff:0.5% logz=27.51+/-0.12 dlogz:10.158>0.1]
836it [04:12,  1.76it/s, bound:479 nc:264 ncall:1.6e+05 eff:0.5% logz=27.63+/-0.12 dlogz:10.022>0.1]
844it [04:17,  1.70it/s, bound:487 nc:267 ncall:1.6e+05 eff:0.5% logz=27.75+/-0.12 dlogz:9.884>0.1] 
852it [04:22,  1.72it/s, bound:495 nc:262 ncall:1.6e+05 eff:0.5% logz=27.86+/-0.12 dlogz:9.751>0.1]
860it [04:27,  1.68it/s, bound:503 nc:258 ncall:1.7e+05 eff:0.5% logz=27.96+/-0.12 dlogz:9.625>0.1]
868it [04:32,  1.66it/s, bound:511 nc:267 ncall:1.7e+05 eff:0.5% logz=28.06+/-0.12 dlogz:9.505>0.1]
876it [04:37,  1.60it/s, bound:519 nc:285 ncall:1.7e+05 eff:0.5% logz=28.16+/-0.12 dlogz:9.389>0.1]
884it [04:42,  1.60it/s, bound:527 nc:269 ncall:1.7e+05 eff:0.5% logz=28.25+/-0.12 dlogz:9.276>0.1]
892it [04:47,  1.69it/s, bound:535 nc:272 ncall:1.7e+05 eff:0.5% logz=28.34+/-0.12 dlogz:9.163>0.1]
900it [04:51,  1.67it/s, bound:543 nc:274 ncall:1.8e+05 eff:0.5% logz=28.44+/-0.12 dlogz:9.046>0.1]
908it [04:56,  1.73it/s, bound:550 nc:266 ncall:1.8e+05 eff:0.5% logz=28.54+/-0.12 dlogz:8.932>0.1]
916it [05:00,  1.73it/s, bound:558 nc:301 ncall:1.8e+05 eff:0.5% logz=28.63+/-0.12 dlogz:8.819>0.1]
924it [05:06,  1.63it/s, bound:566 nc:267 ncall:1.8e+05 eff:0.5% logz=28.72+/-0.12 dlogz:8.709>0.1]
931it [05:10,  1.64it/s, bound:574 nc:535 ncall:1.9e+05 eff:0.5% logz=28.80+/-0.12 dlogz:8.613>0.1]
939it [05:15,  1.59it/s, bound:582 nc:272 ncall:1.9e+05 eff:0.5% logz=28.89+/-0.12 dlogz:8.504>0.1]
947it [05:21,  1.57it/s, bound:590 nc:280 ncall:1.9e+05 eff:0.5% logz=28.97+/-0.12 dlogz:8.399>0.1]
955it [05:26,  1.57it/s, bound:598 nc:291 ncall:1.9e+05 eff:0.5% logz=29.05+/-0.12 dlogz:8.296>0.1]
963it [05:31,  1.55it/s, bound:606 nc:295 ncall:1.9e+05 eff:0.5% logz=29.13+/-0.12 dlogz:8.196>0.1]
971it [05:36,  1.55it/s, bound:614 nc:271 ncall:2.0e+05 eff:0.5% logz=29.21+/-0.12 dlogz:8.097>0.1]
979it [05:41,  1.54it/s, bound:622 nc:286 ncall:2.0e+05 eff:0.5% logz=29.29+/-0.12 dlogz:7.997>0.1]
987it [05:46,  1.57it/s, bound:630 nc:255 ncall:2.0e+05 eff:0.5% logz=29.37+/-0.12 dlogz:7.896>0.1]
995it [05:52,  1.54it/s, bound:638 nc:292 ncall:2.0e+05 eff:0.5% logz=29.46+/-0.12 dlogz:7.794>0.1]
1003it [05:57,  1.52it/s, bound:646 nc:278 ncall:2.1e+05 eff:0.5% logz=29.54+/-0.12 dlogz:7.692>0.1]
1011it [06:03,  1.50it/s, bound:654 nc:302 ncall:2.1e+05 eff:0.5% logz=29.62+/-0.12 dlogz:7.593>0.1]
1019it [06:08,  1.50it/s, bound:662 nc:288 ncall:2.1e+05 eff:0.5% logz=29.69+/-0.12 dlogz:7.496>0.1]
1027it [06:14,  1.46it/s, bound:670 nc:306 ncall:2.1e+05 eff:0.5% logz=29.77+/-0.12 dlogz:7.401>0.1]
1035it [06:20,  1.43it/s, bound:678 nc:326 ncall:2.1e+05 eff:0.5% logz=29.84+/-0.12 dlogz:7.308>0.1]
1043it [06:26,  1.41it/s, bound:686 nc:289 ncall:2.2e+05 eff:0.5% logz=29.91+/-0.12 dlogz:7.218>0.1]
1051it [06:31,  1.44it/s, bound:694 nc:279 ncall:2.2e+05 eff:0.5% logz=29.98+/-0.12 dlogz:7.129>0.1]
1059it [06:37,  1.43it/s, bound:702 nc:284 ncall:2.2e+05 eff:0.5% logz=30.05+/-0.12 dlogz:7.042>0.1]
1067it [06:42,  1.44it/s, bound:710 nc:297 ncall:2.2e+05 eff:0.5% logz=30.11+/-0.12 dlogz:6.955>0.1]
1075it [06:48,  1.43it/s, bound:718 nc:304 ncall:2.3e+05 eff:0.5% logz=30.18+/-0.12 dlogz:6.867>0.1]
1083it [06:53,  1.42it/s, bound:726 nc:294 ncall:2.3e+05 eff:0.5% logz=30.25+/-0.12 dlogz:6.778>0.1]
1091it [06:59,  1.41it/s, bound:734 nc:325 ncall:2.3e+05 eff:0.5% logz=30.32+/-0.12 dlogz:6.691>0.1]
1099it [07:05,  1.43it/s, bound:742 nc:300 ncall:2.3e+05 eff:0.5% logz=30.38+/-0.12 dlogz:6.606>0.1]
1107it [07:10,  1.41it/s, bound:750 nc:303 ncall:2.4e+05 eff:0.5% logz=30.45+/-0.12 dlogz:6.521>0.1]
1114it [07:16,  1.37it/s, bound:758 nc:294 ncall:2.4e+05 eff:0.5% logz=30.50+/-0.12 dlogz:6.449>0.1]
1122it [07:22,  1.39it/s, bound:766 nc:288 ncall:2.4e+05 eff:0.5% logz=30.56+/-0.12 dlogz:6.367>0.1]
