
0it [00:00, ?it/s]
1036it [00:32, 21.12it/s, bound:0 nc: 22 ncall:5.2e+03 eff:20.0% logz=25.88+/-0.14 dlogz:18.211>0.1]
1041it [00:32, 24.74it/s, bound:0 nc: 20 ncall:5.2e+03 eff:20.0% logz=26.03+/-0.14 dlogz:18.049>0.1]
1044it [00:32, 20.11it/s, bound:0 nc: 53 ncall:5.3e+03 eff:19.8% logz=26.11+/-0.14 dlogz:17.956>0.1]
1047it [00:32, 21.44it/s, bound:0 nc:  5 ncall:5.3e+03 eff:19.7% logz=26.19+/-0.14 dlogz:17.867>0.1]
1050it [00:32, 19.10it/s, bound:0 nc:  2 ncall:5.3e+03 eff:19.6% logz=26.27+/-0.14 dlogz:17.782>0.1]
1054it [00:32, 22.06it/s, bound:0 nc: 14 ncall:5.4e+03 eff:19.6% logz=26.37+/-0.14 dlogz:17.670>0.1]
1057it [00:33, 20.69it/s, bound:0 nc: 11 ncall:5.4e+03 eff:19.5% logz=26.45+/-0.14 dlogz:17.583>0.1]
1060it [00:33, 19.12it/s, bound:0 nc:  7 ncall:5.4e+03 eff:19.5% logz=26.53+/-0.14 dlogz:17.545>0.1]
1063it [00:33, 18.75it/s, bound:0 nc: 31 ncall:5.5e+03 eff:19.4% logz=26.61+/-0.14 dlogz:17.459>0.1]
1065it [00:33, 14.73it/s, bound:0 nc:  1 ncall:5.5e+03 eff:19.3% logz=26.66+/-0.14 dlogz:17.403>0.1]
1067it [00:33, 12.21it/s, bound:0 nc: 47 ncall:5.6e+03 eff:19.2% logz=26.71+/-0.14 dlogz:17.348>0.1]
1070it [00:34, 14.52it/s, bound:0 nc:  3 ncall:5.6e+03 eff:19.2% logz=26.78+/-0.14 dlogz:17.267>0.1]
1074it [00:34, 18.46it/s, bound:0 nc:  7 ncall:5.6e+03 eff:19.1% logz=26.88+/-0.14 dlogz:17.164>0.1]
1077it [00:34, 13.18it/s, bound:0 nc: 13 ncall:5.7e+03 eff:19.0% logz=26.94+/-0.14 dlogz:17.090>0.1]
1080it [00:34, 15.19it/s, bound:0 nc: 14 ncall:5.7e+03 eff:18.9% logz=27.01+/-0.14 dlogz:17.013>0.1]
1082it [00:34, 14.14it/s, bound:0 nc: 43 ncall:5.8e+03 eff:18.8% logz=27.06+/-0.14 dlogz:16.961>0.1]
1086it [00:35, 18.16it/s, bound:0 nc: 18 ncall:5.8e+03 eff:18.8% logz=27.15+/-0.14 dlogz:16.859>0.1]
1089it [00:35, 14.26it/s, bound:0 nc: 13 ncall:5.9e+03 eff:18.6% logz=27.22+/-0.14 dlogz:16.784>0.1]
1091it [00:35, 14.69it/s, bound:0 nc:  5 ncall:5.9e+03 eff:18.6% logz=27.26+/-0.14 dlogz:16.733>0.1]
1093it [00:35, 14.09it/s, bound:0 nc: 18 ncall:5.9e+03 eff:18.5% logz=27.31+/-0.14 dlogz:16.682>0.1]
1095it [00:35, 11.88it/s, bound:0 nc: 35 ncall:6.0e+03 eff:18.4% logz=27.36+/-0.14 dlogz:16.631>0.1]
1098it [00:35, 14.58it/s, bound:0 nc: 19 ncall:6.0e+03 eff:18.4% logz=27.42+/-0.14 dlogz:16.556>0.1]
