
0it [00:00, ?it/s]
906it [00:32, 16.01it/s, bound:0 nc:  4 ncall:7.6e+03 eff:11.9% logz=13.45+/-0.13 dlogz:32.521>0.1]
909it [00:33, 17.50it/s, bound:0 nc: 35 ncall:7.7e+03 eff:11.9% logz=13.53+/-0.13 dlogz:32.432>0.1]
912it [00:33, 18.45it/s, bound:0 nc: 33 ncall:7.7e+03 eff:11.8% logz=13.61+/-0.13 dlogz:32.344>0.1]
915it [00:33, 18.59it/s, bound:0 nc: 24 ncall:7.8e+03 eff:11.8% logz=13.70+/-0.13 dlogz:32.255>0.1]
920it [00:33, 21.24it/s, bound:0 nc: 33 ncall:7.8e+03 eff:11.8% logz=13.82+/-0.13 dlogz:32.113>0.1]
923it [00:33, 15.83it/s, bound:0 nc: 22 ncall:7.9e+03 eff:11.7% logz=13.90+/-0.13 dlogz:32.032>0.1]
925it [00:33, 15.53it/s, bound:0 nc: 30 ncall:8.0e+03 eff:11.6% logz=13.94+/-0.13 dlogz:31.979>0.1]
928it [00:34, 17.53it/s, bound:0 nc: 12 ncall:8.0e+03 eff:11.6% logz=14.02+/-0.13 dlogz:31.899>0.1]
931it [00:34, 14.57it/s, bound:0 nc: 72 ncall:8.1e+03 eff:11.5% logz=14.09+/-0.13 dlogz:31.821>0.1]
935it [00:34, 15.24it/s, bound:0 nc: 70 ncall:8.2e+03 eff:11.4% logz=14.18+/-0.13 dlogz:31.718>0.1]
937it [00:34, 15.11it/s, bound:0 nc: 33 ncall:8.2e+03 eff:11.4% logz=14.23+/-0.13 dlogz:31.666>0.1]
940it [00:34, 15.20it/s, bound:0 nc: 45 ncall:8.3e+03 eff:11.3% logz=14.30+/-0.13 dlogz:31.588>0.1]
942it [00:35, 15.40it/s, bound:0 nc:  2 ncall:8.3e+03 eff:11.3% logz=14.34+/-0.13 dlogz:31.536>0.1]
944it [00:35, 12.04it/s, bound:0 nc:  4 ncall:8.4e+03 eff:11.2% logz=14.39+/-0.13 dlogz:31.486>0.1]
947it [00:35, 13.06it/s, bound:0 nc: 28 ncall:8.5e+03 eff:11.2% logz=14.45+/-0.13 dlogz:31.411>0.1]
951it [00:35, 16.98it/s, bound:0 nc: 30 ncall:8.5e+03 eff:11.1% logz=14.54+/-0.13 dlogz:31.315>0.1]
953it [00:36, 10.42it/s, bound:0 nc: 84 ncall:8.7e+03 eff:11.0% logz=14.59+/-0.13 dlogz:31.265>0.1]
957it [00:36, 14.49it/s, bound:0 nc: 21 ncall:8.7e+03 eff:11.0% logz=14.68+/-0.13 dlogz:31.164>0.1]
960it [00:36, 16.64it/s, bound:0 nc:  3 ncall:8.8e+03 eff:11.0% logz=14.75+/-0.13 dlogz:31.088>0.1]
963it [00:36, 12.49it/s, bound:0 nc: 77 ncall:8.9e+03 eff:10.8% logz=14.82+/-0.13 dlogz:31.013>0.1]
966it [00:36, 14.29it/s, bound:0 nc: 28 ncall:8.9e+03 eff:10.8% logz=14.88+/-0.13 dlogz:30.936>0.1]
968it [00:37, 13.73it/s, bound:0 nc:  5 ncall:9.0e+03 eff:10.8% logz=14.93+/-0.13 dlogz:30.886>0.1]
970it [00:37, 12.69it/s, bound:0 nc: 47 ncall:9.0e+03 eff:10.7% logz=14.98+/-0.13 dlogz:30.834>0.1]
972it [00:37, 12.47it/s, bound:0 nc:  8 ncall:9.1e+03 eff:10.7% logz=15.03+/-0.13 dlogz:30.780>0.1]
974it [00:37, 11.48it/s, bound:0 nc:  2 ncall:9.2e+03 eff:10.6% logz=15.08+/-0.13 dlogz:30.722>0.1]
976it [00:37, 11.97it/s, bound:0 nc:  3 ncall:9.2e+03 eff:10.6% logz=15.14+/-0.13 dlogz:30.663>0.1]
982it [00:37, 19.47it/s, bound:0 nc: 16 ncall:9.3e+03 eff:10.6% logz=15.29+/-0.14 dlogz:30.490>0.1]
987it [00:38, 24.79it/s, bound:0 nc:  3 ncall:9.3e+03 eff:10.6% logz=15.42+/-0.14 dlogz:30.348>0.1]
992it [00:38, 22.40it/s, bound:0 nc: 66 ncall:9.4e+03 eff:10.6% logz=15.55+/-0.14 dlogz:30.206>0.1]
995it [00:38, 20.64it/s, bound:0 nc: 20 ncall:9.5e+03 eff:10.5% logz=15.63+/-0.14 dlogz:30.120>0.1]
998it [00:38, 20.84it/s, bound:0 nc:  7 ncall:9.5e+03 eff:10.5% logz=15.71+/-0.14 dlogz:30.031>0.1]
1001it [00:38, 21.75it/s, bound:0 nc: 14 ncall:9.5e+03 eff:10.5% logz=15.80+/-0.14 dlogz:29.941>0.1]
1004it [00:39, 13.25it/s, bound:0 nc: 38 ncall:9.7e+03 eff:10.4% logz=15.88+/-0.14 dlogz:29.852>0.1]
1006it [00:39, 13.43it/s, bound:0 nc: 31 ncall:9.7e+03 eff:10.3% logz=15.93+/-0.14 dlogz:29.911>0.1]
1008it [00:39, 13.49it/s, bound:0 nc: 39 ncall:9.8e+03 eff:10.3% logz=15.99+/-0.14 dlogz:29.850>0.1]
1010it [00:39, 11.32it/s, bound:0 nc: 46 ncall:9.9e+03 eff:10.2% logz=16.05+/-0.14 dlogz:29.789>0.1]
1014it [00:39, 15.70it/s, bound:0 nc:  2 ncall:9.9e+03 eff:10.2% logz=16.15+/-0.14 dlogz:29.671>0.1]
1018it [00:39, 19.70it/s, bound:0 nc: 13 ncall:9.9e+03 eff:10.2% logz=16.25+/-0.14 dlogz:29.559>0.1]
1023it [00:40, 25.08it/s, bound:0 nc: 15 ncall:1.0e+04 eff:10.2% logz=16.38+/-0.14 dlogz:29.421>0.1]
1026it [00:40, 21.10it/s, bound:0 nc:  8 ncall:1.0e+04 eff:10.2% logz=16.45+/-0.14 dlogz:29.338>0.1]
1030it [00:40, 14.44it/s, bound:0 nc:119 ncall:1.0e+04 eff:10.1% logz=16.55+/-0.14 dlogz:29.230>0.1]
1033it [00:41, 12.50it/s, bound:0 nc: 48 ncall:1.0e+04 eff:10.0% logz=16.62+/-0.14 dlogz:29.150>0.1]
1035it [00:44,  2.71it/s, bound:1 nc:148 ncall:1.0e+04 eff:9.9% logz=16.67+/-0.14 dlogz:29.100>0.1] 
1043it [00:47,  2.56it/s, bound:5 nc:102 ncall:1.2e+04 eff:9.0% logz=16.84+/-0.14 dlogz:28.907>0.1]
1051it [00:50,  2.74it/s, bound:8 nc:118 ncall:1.3e+04 eff:8.3% logz=17.00+/-0.14 dlogz:28.723>0.1]
1059it [00:52,  2.75it/s, bound:12 nc:129 ncall:1.4e+04 eff:7.8% logz=17.16+/-0.14 dlogz:28.544>0.1]
1067it [00:55,  2.76it/s, bound:15 nc:123 ncall:1.5e+04 eff:7.3% logz=17.33+/-0.14 dlogz:28.354>0.1]
1073it [00:55,  3.73it/s, bound:18 nc:133 ncall:1.5e+04 eff:7.0% logz=17.47+/-0.14 dlogz:28.205>0.1]
1075it [00:58,  2.59it/s, bound:19 nc:121 ncall:1.6e+04 eff:6.9% logz=17.51+/-0.14 dlogz:28.156>0.1]
1082it [00:58,  4.00it/s, bound:22 nc:129 ncall:1.6e+04 eff:6.6% logz=17.66+/-0.14 dlogz:27.986>0.1]
