
0it [00:00, ?it/s]
1328it [00:18,  8.21it/s, bound:0 nc: 33 ncall:1.1e+04 eff:12.3% logz=23.92+/-0.14 dlogz:15.746>0.1]
1331it [00:19,  8.84it/s, bound:0 nc: 37 ncall:1.1e+04 eff:12.3% logz=23.95+/-0.14 dlogz:15.707>0.1]
1333it [00:19, 10.21it/s, bound:0 nc:  9 ncall:1.1e+04 eff:12.2% logz=23.97+/-0.14 dlogz:15.681>0.1]
1335it [00:19,  9.62it/s, bound:0 nc:  3 ncall:1.1e+04 eff:12.2% logz=23.99+/-0.14 dlogz:15.655>0.1]
1337it [00:20,  6.10it/s, bound:0 nc:118 ncall:1.1e+04 eff:12.1% logz=24.01+/-0.14 dlogz:15.629>0.1]
1339it [00:20,  6.35it/s, bound:0 nc: 65 ncall:1.1e+04 eff:12.0% logz=24.03+/-0.14 dlogz:15.604>0.1]
1344it [00:20, 11.09it/s, bound:0 nc: 15 ncall:1.1e+04 eff:12.0% logz=24.09+/-0.14 dlogz:15.539>0.1]
1347it [00:20, 12.40it/s, bound:0 nc: 27 ncall:1.1e+04 eff:12.0% logz=24.12+/-0.14 dlogz:15.500>0.1]
1349it [00:20, 13.07it/s, bound:0 nc: 23 ncall:1.1e+04 eff:11.9% logz=24.14+/-0.14 dlogz:15.474>0.1]
1352it [00:21, 12.81it/s, bound:0 nc: 44 ncall:1.1e+04 eff:11.9% logz=24.17+/-0.14 dlogz:15.436>0.1]
1354it [00:21, 12.77it/s, bound:0 nc: 29 ncall:1.1e+04 eff:11.9% logz=24.19+/-0.14 dlogz:15.410>0.1]
1356it [00:21, 10.66it/s, bound:0 nc: 25 ncall:1.1e+04 eff:11.8% logz=24.21+/-0.14 dlogz:15.385>0.1]
1358it [00:21, 11.82it/s, bound:0 nc: 12 ncall:1.1e+04 eff:11.8% logz=24.23+/-0.14 dlogz:15.359>0.1]
1361it [00:21, 12.44it/s, bound:0 nc: 45 ncall:1.2e+04 eff:11.8% logz=24.26+/-0.14 dlogz:15.321>0.1]
1363it [00:22, 11.77it/s, bound:0 nc: 11 ncall:1.2e+04 eff:11.7% logz=24.28+/-0.14 dlogz:15.295>0.1]
1365it [00:22, 10.05it/s, bound:0 nc: 12 ncall:1.2e+04 eff:11.7% logz=24.30+/-0.14 dlogz:15.270>0.1]
1368it [00:22, 11.97it/s, bound:0 nc: 22 ncall:1.2e+04 eff:11.7% logz=24.33+/-0.14 dlogz:15.233>0.1]
1370it [00:22, 11.64it/s, bound:0 nc: 33 ncall:1.2e+04 eff:11.7% logz=24.35+/-0.14 dlogz:15.207>0.1]
1372it [00:22, 11.04it/s, bound:0 nc: 34 ncall:1.2e+04 eff:11.6% logz=24.37+/-0.14 dlogz:15.181>0.1]
1374it [00:23,  6.18it/s, bound:0 nc:159 ncall:1.2e+04 eff:11.5% logz=24.39+/-0.14 dlogz:15.155>0.1]
1375it [00:23,  5.97it/s, bound:0 nc: 54 ncall:1.2e+04 eff:11.4% logz=24.41+/-0.14 dlogz:15.142>0.1]
1378it [00:24,  7.05it/s, bound:0 nc: 57 ncall:1.2e+04 eff:11.4% logz=24.44+/-0.14 dlogz:15.103>0.1]
1380it [00:24,  6.14it/s, bound:0 nc: 86 ncall:1.2e+04 eff:11.3% logz=24.46+/-0.14 dlogz:15.077>0.1]
1382it [00:24,  6.89it/s, bound:0 nc: 41 ncall:1.2e+04 eff:11.3% logz=24.48+/-0.14 dlogz:15.051>0.1]
1384it [00:24,  7.60it/s, bound:0 nc: 49 ncall:1.2e+04 eff:11.3% logz=24.50+/-0.14 dlogz:15.025>0.1]
1386it [00:25,  9.07it/s, bound:0 nc: 33 ncall:1.2e+04 eff:11.2% logz=24.52+/-0.14 dlogz:14.999>0.1]
1389it [00:25, 11.26it/s, bound:0 nc: 20 ncall:1.2e+04 eff:11.2% logz=24.55+/-0.14 dlogz:14.961>0.1]
1391it [00:25, 11.55it/s, bound:0 nc: 11 ncall:1.2e+04 eff:11.2% logz=24.57+/-0.14 dlogz:14.935>0.1]
1393it [00:25, 11.61it/s, bound:0 nc: 29 ncall:1.2e+04 eff:11.2% logz=24.59+/-0.14 dlogz:14.909>0.1]
1395it [00:25, 10.52it/s, bound:0 nc:  9 ncall:1.3e+04 eff:11.1% logz=24.61+/-0.14 dlogz:14.883>0.1]
1397it [00:26,  9.89it/s, bound:0 nc: 50 ncall:1.3e+04 eff:11.1% logz=24.64+/-0.14 dlogz:14.857>0.1]
1399it [00:26, 11.11it/s, bound:0 nc: 30 ncall:1.3e+04 eff:11.1% logz=24.66+/-0.14 dlogz:14.831>0.1]
1401it [00:26,  9.79it/s, bound:0 nc: 13 ncall:1.3e+04 eff:11.1% logz=24.68+/-0.14 dlogz:14.806>0.1]
1403it [00:26,  6.56it/s, bound:0 nc: 33 ncall:1.3e+04 eff:11.0% logz=24.70+/-0.14 dlogz:14.780>0.1]
1405it [00:27,  7.89it/s, bound:0 nc: 36 ncall:1.3e+04 eff:10.9% logz=24.72+/-0.14 dlogz:14.754>0.1]
1408it [00:27,  9.66it/s, bound:0 nc: 31 ncall:1.3e+04 eff:10.9% logz=24.75+/-0.14 dlogz:14.716>0.1]
1410it [00:27, 10.22it/s, bound:0 nc: 28 ncall:1.3e+04 eff:10.9% logz=24.77+/-0.14 dlogz:14.691>0.1]
1412it [00:27,  8.78it/s, bound:0 nc: 66 ncall:1.3e+04 eff:10.9% logz=24.79+/-0.14 dlogz:14.666>0.1]
1414it [00:27, 10.05it/s, bound:0 nc:  8 ncall:1.3e+04 eff:10.9% logz=24.81+/-0.14 dlogz:14.642>0.1]
1416it [00:28,  7.81it/s, bound:0 nc: 33 ncall:1.3e+04 eff:10.8% logz=24.83+/-0.14 dlogz:14.618>0.1]
1417it [00:28,  6.92it/s, bound:0 nc: 57 ncall:1.3e+04 eff:10.8% logz=24.84+/-0.14 dlogz:14.605>0.1]
1418it [00:28,  5.69it/s, bound:0 nc: 80 ncall:1.3e+04 eff:10.7% logz=24.85+/-0.14 dlogz:14.593>0.1]
1419it [00:29,  5.85it/s, bound:0 nc: 45 ncall:1.3e+04 eff:10.7% logz=24.86+/-0.14 dlogz:14.581>0.1]
1421it [00:29,  5.92it/s, bound:0 nc: 71 ncall:1.3e+04 eff:10.6% logz=24.88+/-0.14 dlogz:14.556>0.1]
1422it [00:29,  6.33it/s, bound:0 nc: 34 ncall:1.3e+04 eff:10.6% logz=24.88+/-0.14 dlogz:14.544>0.1]
1423it [00:29,  5.88it/s, bound:0 nc: 66 ncall:1.3e+04 eff:10.6% logz=24.89+/-0.14 dlogz:14.532>0.1]
1424it [00:29,  6.20it/s, bound:0 nc: 46 ncall:1.4e+04 eff:10.5% logz=24.90+/-0.14 dlogz:14.520>0.1]
1427it [00:29, 10.22it/s, bound:0 nc:  8 ncall:1.4e+04 eff:10.5% logz=24.93+/-0.14 dlogz:14.484>0.1]
1429it [00:30,  9.21it/s, bound:0 nc: 68 ncall:1.4e+04 eff:10.5% logz=24.95+/-0.14 dlogz:14.460>0.1]
1431it [00:30,  8.78it/s, bound:0 nc: 22 ncall:1.4e+04 eff:10.5% logz=24.97+/-0.14 dlogz:14.436>0.1]
1433it [00:30,  8.46it/s, bound:0 nc: 48 ncall:1.4e+04 eff:10.4% logz=24.99+/-0.14 dlogz:14.412>0.1]
1435it [00:30, 10.00it/s, bound:0 nc: 12 ncall:1.4e+04 eff:10.4% logz=25.01+/-0.14 dlogz:14.388>0.1]
1437it [00:31,  8.09it/s, bound:0 nc: 39 ncall:1.4e+04 eff:10.3% logz=25.03+/-0.14 dlogz:14.364>0.1]
1440it [00:31, 11.12it/s, bound:0 nc: 17 ncall:1.4e+04 eff:10.3% logz=25.06+/-0.14 dlogz:14.327>0.1]
1442it [00:31,  7.05it/s, bound:0 nc: 26 ncall:1.4e+04 eff:10.2% logz=25.08+/-0.14 dlogz:14.301>0.1]
1444it [00:32,  7.37it/s, bound:0 nc: 43 ncall:1.4e+04 eff:10.2% logz=25.10+/-0.14 dlogz:14.273>0.1]
1447it [00:32,  8.77it/s, bound:0 nc: 51 ncall:1.4e+04 eff:10.2% logz=25.14+/-0.14 dlogz:14.233>0.1]
