
0it [00:00, ?it/s]
1077it [12:41,  1.05s/it, bound:377 nc:133 ncall:1.1e+05 eff:0.9% logz=46.44+/-0.12 dlogz:6.765>0.1]
1085it [12:49,  1.03s/it, bound:381 nc:168 ncall:1.2e+05 eff:0.9% logz=46.50+/-0.12 dlogz:6.685>0.1]
1093it [12:57,  1.03s/it, bound:385 nc:154 ncall:1.2e+05 eff:0.9% logz=46.55+/-0.12 dlogz:6.607>0.1]
1101it [13:05,  1.04s/it, bound:389 nc:169 ncall:1.2e+05 eff:0.9% logz=46.61+/-0.12 dlogz:6.532>0.1]
1109it [13:14,  1.04s/it, bound:393 nc:178 ncall:1.2e+05 eff:0.9% logz=46.66+/-0.12 dlogz:6.457>0.1]
1117it [13:22,  1.05s/it, bound:397 nc:169 ncall:1.2e+05 eff:0.9% logz=46.72+/-0.12 dlogz:6.380>0.1]
1125it [13:31,  1.06s/it, bound:401 nc:180 ncall:1.2e+05 eff:0.9% logz=46.78+/-0.12 dlogz:6.304>0.1]
1133it [13:40,  1.08s/it, bound:405 nc:169 ncall:1.2e+05 eff:0.9% logz=46.83+/-0.12 dlogz:6.229>0.1]
1141it [13:49,  1.10s/it, bound:409 nc:178 ncall:1.3e+05 eff:0.9% logz=46.89+/-0.12 dlogz:6.154>0.1]
1149it [13:58,  1.10s/it, bound:413 nc:159 ncall:1.3e+05 eff:0.9% logz=46.94+/-0.12 dlogz:6.079>0.1]
1157it [14:07,  1.10s/it, bound:417 nc:184 ncall:1.3e+05 eff:0.9% logz=47.00+/-0.12 dlogz:6.006>0.1]
1165it [14:16,  1.10s/it, bound:421 nc:190 ncall:1.3e+05 eff:0.9% logz=47.05+/-0.12 dlogz:5.934>0.1]
1173it [14:24,  1.09s/it, bound:425 nc:188 ncall:1.3e+05 eff:0.9% logz=47.10+/-0.12 dlogz:5.863>0.1]
1181it [14:33,  1.08s/it, bound:429 nc:167 ncall:1.3e+05 eff:0.9% logz=47.15+/-0.12 dlogz:5.791>0.1]
1189it [14:42,  1.10s/it, bound:433 nc:168 ncall:1.3e+05 eff:0.9% logz=47.20+/-0.12 dlogz:5.721>0.1]
1197it [14:51,  1.11s/it, bound:437 nc:165 ncall:1.4e+05 eff:0.9% logz=47.25+/-0.12 dlogz:5.651>0.1]
1205it [14:59,  1.10s/it, bound:441 nc:169 ncall:1.4e+05 eff:0.9% logz=47.30+/-0.12 dlogz:5.581>0.1]
1213it [15:08,  1.10s/it, bound:445 nc:184 ncall:1.4e+05 eff:0.9% logz=47.35+/-0.12 dlogz:5.511>0.1]
1221it [15:17,  1.09s/it, bound:449 nc:175 ncall:1.4e+05 eff:0.9% logz=47.40+/-0.12 dlogz:5.442>0.1]
1229it [15:25,  1.09s/it, bound:453 nc:182 ncall:1.4e+05 eff:0.9% logz=47.45+/-0.12 dlogz:5.374>0.1]
1237it [15:34,  1.08s/it, bound:457 nc:166 ncall:1.4e+05 eff:0.9% logz=47.50+/-0.12 dlogz:5.307>0.1]
1245it [15:42,  1.07s/it, bound:461 nc:157 ncall:1.4e+05 eff:0.9% logz=47.54+/-0.12 dlogz:5.242>0.1]
1252it [15:52,  1.14s/it, bound:465 nc:185 ncall:1.5e+05 eff:0.9% logz=47.58+/-0.12 dlogz:5.184>0.1]
1260it [16:01,  1.15s/it, bound:469 nc:204 ncall:1.5e+05 eff:0.9% logz=47.63+/-0.12 dlogz:5.119>0.1]
1268it [16:10,  1.16s/it, bound:473 nc:168 ncall:1.5e+05 eff:0.9% logz=47.67+/-0.12 dlogz:5.054>0.1]
1276it [16:20,  1.17s/it, bound:477 nc:184 ncall:1.5e+05 eff:0.9% logz=47.72+/-0.12 dlogz:4.990>0.1]
1284it [16:30,  1.19s/it, bound:481 nc:173 ncall:1.5e+05 eff:0.8% logz=47.76+/-0.12 dlogz:4.927>0.1]
1292it [16:39,  1.19s/it, bound:485 nc:195 ncall:1.5e+05 eff:0.8% logz=47.80+/-0.12 dlogz:4.866>0.1]
1300it [16:49,  1.18s/it, bound:489 nc:200 ncall:1.5e+05 eff:0.8% logz=47.85+/-0.12 dlogz:4.804>0.1]
1308it [16:58,  1.19s/it, bound:493 nc:199 ncall:1.6e+05 eff:0.8% logz=47.89+/-0.12 dlogz:4.744>0.1]
1316it [17:08,  1.19s/it, bound:497 nc:200 ncall:1.6e+05 eff:0.8% logz=47.93+/-0.12 dlogz:4.685>0.1]
1324it [17:17,  1.19s/it, bound:501 nc:186 ncall:1.6e+05 eff:0.8% logz=47.96+/-0.12 dlogz:4.627>0.1]
1332it [17:27,  1.20s/it, bound:505 nc:208 ncall:1.6e+05 eff:0.8% logz=48.00+/-0.12 dlogz:4.569>0.1]
1340it [17:37,  1.20s/it, bound:509 nc:189 ncall:1.6e+05 eff:0.8% logz=48.04+/-0.12 dlogz:4.513>0.1]
1348it [17:46,  1.20s/it, bound:513 nc:212 ncall:1.6e+05 eff:0.8% logz=48.07+/-0.12 dlogz:4.458>0.1]
1356it [17:56,  1.20s/it, bound:517 nc:207 ncall:1.7e+05 eff:0.8% logz=48.11+/-0.12 dlogz:4.403>0.1]
1364it [18:05,  1.20s/it, bound:521 nc:195 ncall:1.7e+05 eff:0.8% logz=48.14+/-0.12 dlogz:4.350>0.1]
1372it [18:14,  1.17s/it, bound:525 nc:189 ncall:1.7e+05 eff:0.8% logz=48.18+/-0.12 dlogz:4.297>0.1]
1380it [18:24,  1.18s/it, bound:529 nc:200 ncall:1.7e+05 eff:0.8% logz=48.21+/-0.12 dlogz:4.244>0.1]
1388it [18:34,  1.19s/it, bound:533 nc:193 ncall:1.7e+05 eff:0.8% logz=48.24+/-0.12 dlogz:4.652>0.1]
