
0it [00:00, ?it/s]
791it [00:16, 38.25it/s, bound:0 nc: 13 ncall:4.5e+03 eff:17.4% logz=22.49+/-0.12 dlogz:31.667>0.1]
796it [00:16, 31.10it/s, bound:0 nc:  5 ncall:4.6e+03 eff:17.2% logz=22.60+/-0.12 dlogz:31.551>0.1]
800it [00:16, 30.38it/s, bound:0 nc: 24 ncall:4.7e+03 eff:17.1% logz=22.67+/-0.12 dlogz:31.462>0.1]
804it [00:17, 31.58it/s, bound:0 nc: 19 ncall:4.7e+03 eff:17.1% logz=22.75+/-0.12 dlogz:31.374>0.1]
808it [00:17, 27.13it/s, bound:0 nc: 53 ncall:4.8e+03 eff:16.9% logz=22.83+/-0.12 dlogz:31.285>0.1]
812it [00:17, 23.52it/s, bound:0 nc: 18 ncall:4.9e+03 eff:16.6% logz=22.91+/-0.12 dlogz:31.194>0.1]
816it [00:17, 25.66it/s, bound:0 nc: 15 ncall:4.9e+03 eff:16.6% logz=22.99+/-0.12 dlogz:31.105>0.1]
819it [00:17, 24.23it/s, bound:0 nc: 25 ncall:5.0e+03 eff:16.5% logz=23.05+/-0.12 dlogz:31.040>0.1]
822it [00:18, 19.01it/s, bound:0 nc: 10 ncall:5.1e+03 eff:16.2% logz=23.10+/-0.12 dlogz:30.976>0.1]
829it [00:18, 26.94it/s, bound:0 nc: 26 ncall:5.1e+03 eff:16.2% logz=23.25+/-0.12 dlogz:30.819>0.1]
833it [00:18, 27.60it/s, bound:0 nc: 22 ncall:5.2e+03 eff:16.0% logz=23.34+/-0.12 dlogz:30.718>0.1]
839it [00:18, 29.47it/s, bound:0 nc: 27 ncall:5.2e+03 eff:16.0% logz=23.47+/-0.13 dlogz:30.573>0.1]
843it [00:18, 28.30it/s, bound:0 nc:  8 ncall:5.3e+03 eff:15.9% logz=23.55+/-0.13 dlogz:30.480>0.1]
846it [00:18, 21.63it/s, bound:0 nc:  9 ncall:5.4e+03 eff:15.7% logz=23.61+/-0.13 dlogz:30.413>0.1]
849it [00:19, 20.60it/s, bound:0 nc:  3 ncall:5.5e+03 eff:15.5% logz=23.66+/-0.13 dlogz:30.348>0.1]
852it [00:19, 18.32it/s, bound:0 nc: 58 ncall:5.6e+03 eff:15.3% logz=23.72+/-0.13 dlogz:30.286>0.1]
856it [00:19, 21.67it/s, bound:0 nc:  2 ncall:5.6e+03 eff:15.3% logz=23.79+/-0.13 dlogz:30.205>0.1]
860it [00:19, 24.73it/s, bound:0 nc: 16 ncall:5.6e+03 eff:15.3% logz=23.86+/-0.13 dlogz:30.127>0.1]
863it [00:19, 20.02it/s, bound:0 nc: 12 ncall:5.7e+03 eff:15.1% logz=23.91+/-0.12 dlogz:30.070>0.1]
866it [00:19, 16.59it/s, bound:0 nc: 52 ncall:5.8e+03 eff:14.9% logz=23.95+/-0.12 dlogz:30.015>0.1]
872it [00:20, 22.02it/s, bound:0 nc: 32 ncall:5.9e+03 eff:14.8% logz=24.04+/-0.12 dlogz:29.907>0.1]
875it [00:20, 19.95it/s, bound:0 nc: 26 ncall:6.0e+03 eff:14.7% logz=24.09+/-0.12 dlogz:29.855>0.1]
878it [00:20, 16.95it/s, bound:0 nc: 26 ncall:6.1e+03 eff:14.5% logz=24.13+/-0.12 dlogz:29.803>0.1]
880it [00:20, 15.04it/s, bound:0 nc: 51 ncall:6.1e+03 eff:14.4% logz=24.16+/-0.12 dlogz:29.769>0.1]
883it [00:20, 16.20it/s, bound:0 nc: 20 ncall:6.2e+03 eff:14.3% logz=24.21+/-0.12 dlogz:29.717>0.1]
887it [00:21, 18.77it/s, bound:0 nc: 26 ncall:6.2e+03 eff:14.2% logz=24.27+/-0.12 dlogz:29.648>0.1]
891it [00:21, 20.90it/s, bound:0 nc: 22 ncall:6.3e+03 eff:14.1% logz=24.33+/-0.12 dlogz:29.579>0.1]
894it [00:21, 20.82it/s, bound:0 nc: 11 ncall:6.4e+03 eff:14.1% logz=24.37+/-0.12 dlogz:29.529>0.1]
