
0it [00:00, ?it/s]
611it [01:39,  1.16it/s, bound:9 nc:101 ncall:8569 eff:7.1% logz=22.61+/-0.12 dlogz:32.597>0.10]
613it [01:39,  1.41it/s, bound:10 nc:101 ncall:8771 eff:7.0% logz=22.66+/-0.12 dlogz:32.547>0.10]
616it [01:39,  1.95it/s, bound:11 nc:101 ncall:9074 eff:6.8% logz=22.72+/-0.12 dlogz:32.472>0.10]
619it [01:45,  1.02s/it, bound:12 nc:115 ncall:9391 eff:6.6% logz=22.79+/-0.12 dlogz:32.396>0.10]
622it [01:46,  1.37it/s, bound:13 nc:101 ncall:9694 eff:6.4% logz=22.86+/-0.12 dlogz:32.319>0.10]
627it [01:52,  1.08it/s, bound:15 nc:101 ncall:10252 eff:6.1% logz=22.98+/-0.12 dlogz:32.187>0.10]
633it [01:52,  1.81it/s, bound:17 nc:101 ncall:10858 eff:5.8% logz=23.13+/-0.12 dlogz:32.026>0.10]
636it [01:57,  1.19it/s, bound:18 nc:101 ncall:11161 eff:5.7% logz=23.20+/-0.12 dlogz:31.949>0.10]
642it [01:57,  1.92it/s, bound:20 nc:101 ncall:11767 eff:5.5% logz=23.34+/-0.12 dlogz:31.790>0.10]
645it [02:03,  1.24it/s, bound:21 nc:101 ncall:12070 eff:5.3% logz=23.42+/-0.12 dlogz:31.709>0.10]
651it [02:09,  1.12it/s, bound:23 nc:101 ncall:12676 eff:5.1% logz=23.56+/-0.12 dlogz:31.546>0.10]
654it [02:09,  1.41it/s, bound:24 nc:101 ncall:12979 eff:5.0% logz=23.64+/-0.12 dlogz:31.462>0.10]
659it [02:15,  1.16it/s, bound:25 nc:101 ncall:13505 eff:4.9% logz=23.76+/-0.12 dlogz:31.326>0.10]
