
0it [00:00, ?it/s]
1431it [00:25, 22.39it/s, bound:0 nc: 13 ncall:1.4e+04 eff:10.5% logz=28.30+/-0.15 dlogz:13.682>0.1]
1434it [00:25, 23.09it/s, bound:0 nc: 20 ncall:1.4e+04 eff:10.4% logz=28.34+/-0.15 dlogz:13.637>0.1]
1437it [00:25, 21.20it/s, bound:0 nc:  9 ncall:1.4e+04 eff:10.4% logz=28.38+/-0.15 dlogz:13.592>0.1]
1440it [00:26, 17.78it/s, bound:0 nc: 22 ncall:1.4e+04 eff:10.3% logz=28.41+/-0.15 dlogz:13.546>0.1]
1444it [00:26, 15.55it/s, bound:0 nc:121 ncall:1.4e+04 eff:10.2% logz=28.46+/-0.15 dlogz:13.485>0.1]
1446it [00:26, 12.60it/s, bound:0 nc: 51 ncall:1.4e+04 eff:10.1% logz=28.49+/-0.15 dlogz:13.455>0.1]
1449it [00:26, 14.01it/s, bound:0 nc: 71 ncall:1.4e+04 eff:10.1% logz=28.53+/-0.15 dlogz:13.411>0.1]
1451it [00:26, 13.46it/s, bound:0 nc: 42 ncall:1.4e+04 eff:10.1% logz=28.55+/-0.15 dlogz:13.382>0.1]
1453it [00:27, 14.33it/s, bound:0 nc: 31 ncall:1.4e+04 eff:10.0% logz=28.57+/-0.15 dlogz:13.353>0.1]
1455it [00:34,  1.02it/s, bound:1 nc:456 ncall:1.5e+04 eff:9.6% logz=28.60+/-0.15 dlogz:13.323>0.1] 
1463it [00:40,  1.12it/s, bound:9 nc:440 ncall:1.9e+04 eff:7.8% logz=28.70+/-0.15 dlogz:13.200>0.1]
1471it [00:47,  1.19it/s, bound:17 nc:410 ncall:2.2e+04 eff:6.6% logz=28.80+/-0.15 dlogz:13.080>0.1]
1479it [00:53,  1.25it/s, bound:25 nc:404 ncall:2.5e+04 eff:5.8% logz=28.90+/-0.15 dlogz:12.963>0.1]
1487it [00:59,  1.27it/s, bound:33 nc:420 ncall:2.9e+04 eff:5.2% logz=28.99+/-0.15 dlogz:12.848>0.1]
1495it [01:05,  1.28it/s, bound:41 nc:407 ncall:3.2e+04 eff:4.7% logz=29.09+/-0.15 dlogz:12.736>0.1]
